sn,,stock_name,stock_symbol,sector,operations
225,,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance,View
226,Logo Unavailable,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydro Power,View
227,,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance,View
228,,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance,View
229,Logo Unavailable,Sagarmatha Insurance Co. Ltd.,SIC,Non Life Insurance,View
230,Logo Unavailable,Sahara Bikas Bank Ltd.,SHBL,Development Banks,View
231,Logo Unavailable,Sahayogi Bikas Bank Limited,SBBLJ,Development Banks,View
232,Logo Unavailable,Salt Trading Corporation,STC,Tradings,View
233,,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance,View
234,Logo Unavailable,Samjhana Finance Co. Ltd.,SFC,Finance,View
235,,Samriddhi Finance Company Limited,SFCL,Finance,View
236,,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance,View
237,Logo Unavailable,Sana Kisan Bikas Bank Ltd,SKBBL,Microfinance,View
238,Logo Unavailable,Sanima Bank Limited,SANIMA,Commercial Banks,View
239,,Sanima Equity Fund,SAEF,Mutual Fund,View
240,,Sanima General Insurance Limited,SGI,Non Life Insurance,View
241,Logo Unavailable,Sanima Large Cap Fund,SLCF,Mutual Fund,View
242,,Sanima Mai Hydropower Ltd.,SHPC,Hydro Power,View
243,Logo Unavailable,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro Power,View
244,Logo Unavailable,Saptakoshi Development Bank Ltd,SAPDBL,Development Banks,View
245,,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB,Microfinance,View
246,,Shangrila Development Bank Ltd.,SADBL,Development Banks,View
247,Logo Unavailable,Shikhar Insurance Co. Ltd.,SICL,Non Life Insurance,View
248,Logo Unavailable,Shine Resunga Development Bank Ltd.,SHINE,Development Banks,View
249,Logo Unavailable,Shiva Shree Hydropower Ltd,SSHL,Hydro Power,View
